F1000 Probing Dirname,Pretraining Hash,Finetuning Hash,Test Hash,Description,Pretrained
031_F1000_pretrained_LongT5_lr-0-1_vanilla-c105-b93e,16a6-d767,3bc2-8e50,3bc2-8e50,vanilla,TRUE
031_F1000_pretrained_LongT5_lr-0-1_vanilla-c105-b93e,16a6-d767,ebc5-a864,ebc5-a864,vanilla,TRUE
031_F1000_pretrained_LongT5_lr-0-1_vanilla-c105-b93e,16a6-d767,3f36-8953,3f36-8953,vanilla,TRUE
034_F1000_pretrained_LongT5_lr-0-1_is-node-boundaries_probe_struct-f68d-d6fd,b2bb-778b,6e6c-46b8,6e6c-46b8,tok-sep,TRUE
034_F1000_pretrained_LongT5_lr-0-1_is-node-boundaries_probe_struct-f68d-d6fd,b2bb-778b,9a09-60fb,9a09-60fb,tok-sep,TRUE
034_F1000_pretrained_LongT5_lr-0-1_is-node-boundaries_probe_struct-f68d-d6fd,b2bb-778b,e449-57bf,e449-57bf,tok-sep,TRUE
035_F1000_pretrained_LongT5_lr-0-1_is-node-depths_probe_struct-4ae7-8665,7adb-1468,2f80-b40d,2f80-b40d,tok-depth,TRUE
035_F1000_pretrained_LongT5_lr-0-1_is-node-depths_probe_struct-4ae7-8665,7adb-1468,dc7d-a29f,dc7d-a29f,tok-depth,TRUE
035_F1000_pretrained_LongT5_lr-0-1_is-node-depths_probe_struct-4ae7-8665,7adb-1468,f08a-123e,f08a-123e,tok-depth,TRUE
036_F1000_pretrained_LongT5_lr-0-1_is-node-types_probe_struct-4168-320c,aa11-6010,c03e-13e6,c03e-13e6,tok-type,TRUE
036_F1000_pretrained_LongT5_lr-0-1_is-node-types_probe_struct-4168-320c,aa11-6010,a1c8-3c92,a1c8-3c92,tok-type,TRUE
036_F1000_pretrained_LongT5_lr-0-1_is-node-types_probe_struct-4168-320c,aa11-6010,4709-0328,4709-0328,tok-type,TRUE
032_F1000_pretrained_LongT5_lr-0-1_pe-node-depths-f390-28b2,77ae-5a6e,2440-09ca,2440-09ca,emb-depth,TRUE
032_F1000_pretrained_LongT5_lr-0-1_pe-node-depths-f390-28b2,77ae-5a6e,8076-3873,8076-3873,emb-depth,TRUE
032_F1000_pretrained_LongT5_lr-0-1_pe-node-depths-f390-28b2,77ae-5a6e,5a5a-203b,5a5a-203b,emb-depth,TRUE
033_F1000_pretrained_LongT5_lr-0-1_pe-node-types-403a-cb6a,dbd8-785d,b045-a1ad,b045-a1ad,emb-type,TRUE
033_F1000_pretrained_LongT5_lr-0-1_pe-node-types-403a-cb6a,dbd8-785d,6996-db7f,6996-db7f,emb-type,TRUE
033_F1000_pretrained_LongT5_lr-0-1_pe-node-types-403a-cb6a,dbd8-785d,fa7c-5977,fa7c-5977,emb-type,TRUE
037_F1000_pretrained_LongT5_lr-0-1_pe-node-depths-is-node-types_probe_struct-5b77-e1ff,5ed0-308d,60cb-0b72,60cb-0b72,emb-depth-tok-type,TRUE
037_F1000_pretrained_LongT5_lr-0-1_pe-node-depths-is-node-types_probe_struct-5b77-e1ff,5ed0-308d,f326-859c,f326-859c,emb-depth-tok-type,TRUE
037_F1000_pretrained_LongT5_lr-0-1_pe-node-depths-is-node-types_probe_struct-5b77-e1ff,5ed0-308d,5064-6e29,5064-6e29,emb-depth-tok-type,TRUE
038_f1000_pretrained_LongT5_lr-0-1_pe-node-types-is-node-types_probe_struct-b21c-43db,0d59-2b0c,5638-e80e,5638-e80e,emb-type-tok-type,TRUE
038_f1000_pretrained_LongT5_lr-0-1_pe-node-types-is-node-types_probe_struct-b21c-43db,0d59-2b0c,f399-85a9,f399-85a9,emb-type-tok-type,TRUE
038_f1000_pretrained_LongT5_lr-0-1_pe-node-types-is-node-types_probe_struct-b21c-43db,0d59-2b0c,3ae7-af4f,3ae7-af4f,emb-type-tok-type,TRUE
039_f1000_pretrained_LongT5_lr-0-1_pe_node_types_is_node_depths_probe_struct_2242-b767,c9e2-4d60,138b-1bc8,138b-1bc8,emb-type-tok-depth,TRUE
039_f1000_pretrained_LongT5_lr-0-1_pe_node_types_is_node_depths_probe_struct_2242-b767,c9e2-4d60,3ebf-f984,3ebf-f984,emb-type-tok-depth,TRUE
039_f1000_pretrained_LongT5_lr-0-1_pe_node_types_is_node_depths_probe_struct_2242-b767,c9e2-4d60,5ae4-455f,5ae4-455f,emb-type-tok-depth,TRUE
040_f1000_pretrained_LongT5_lr-0-1_pe_node_depths_is_node_depths_probe_struct_6056-5110,1348-4fbd,63c7-08d1,63c7-08d1,emb-depth-tok-depth,TRUE
040_f1000_pretrained_LongT5_lr-0-1_pe_node_depths_is_node_depths_probe_struct_6056-5110,1348-4fbd,533a-3224,533a-3224,emb-depth-tok-depth,TRUE
040_f1000_pretrained_LongT5_lr-0-1_pe_node_depths_is_node_depths_probe_struct_6056-5110,1348-4fbd,5209-c95a,5209-c95a,emb-depth-tok-depth,TRUE
